Kategori,Şirket,Sahibi/Not
Diğer,İpek Hanım Çiftliği,
Diğer,Kibarlar Demir Ticaret,
Diğer,Likitgaz,Demirören'e ait
Diğer,Linens,Zorlu Grubu'na ait
Diğer,Milangaz,Demirören'e ait
Diğer,Moil,Demirören'e ait
Diğer,Royal Halı,
Diğer,Saray Halı,
Diğer,Sarev,
Diğer,Sürat Kargo,
Diğer,Taç,Zorlu Grubu'na ait
Diğer,Torunlar Kağıt,
Diğer,Total,Demirören'e ait
Diğer,Valeron,Zorlu Grubu'na ait
Diğer,Verdi Kumaş,
